RGB,Name,R,G,B,Hue,Saturation,Brightness
#B22222,Firebrick,178,34,34,0.000001,0.679245,0.415686
#FFFAF0,FloralWhite,255,250,240,40.000000,1.000000,0.970588
#228B22,ForestGreen,34,139,34,120.000000,0.606937,0.339216
#FF00FF,Fuchsia,255,0,255,300.000000,1.000000,0.500000
#DCDCDC,Gainsboro,220,220,220,0.000000,0.000000,0.862745
#F8F8FF,GhostWhite,248,248,255,240.000000,1.000000,0.986275
#FFD700,Gold,255,215,0,50.588230,1.000000,0.500000
#DAA520,Goldenrod,218,165,32,42.903230,0.744000,0.490196
#808080,Gray,128,128,128,0.000000,0.000000,0.501961
#008000,Green,0,128,0,120.000000,1.000000,0.250980
#ADFF2F,GreenYellow,173,255,47,83.653850,1.000000,0.592157
#F0FFF0,Honeydew,240,255,240,120.000000,1.000000,0.970588
#FF69B4,HotPink,255,105,180,330.000000,1.000000,0.705882
#CD5C5C,IndianRed,205,92,92,0.000001,0.530516,0.582353
#4B0082,Indigo,75,0,130,274.615400,1.000000,0.254902
#FFFFF0,Ivory,255,255,240,60.000000,1.000000,0.970588
#F0E68C,Khaki,240,230,140,54.000000,0.769231,0.745098
#E6E6FA,Lavender,230,230,250,240.000000,0.666667,0.941177
#FFF0F5,LavenderBlush,255,240,245,340.000000,1.000000,0.970588
#7CFC00,LawnGreen,124,252,0,90.476190,1.000000,0.494118
#FFFACD,LemonChiffon,255,250,205,54.000000,1.000000,0.901961
#ADD8E6,LightBlue,173,216,230,194.736800,0.532710,0.790196
#F08080,LightCoral,240,128,128,0.000004,0.788732,0.721569
#E0FFFF,LightCyan,224,255,255,180.000000,1.000000,0.939216
#FAFAD2,LightGoldenrodYellow,250,250,210,60.000000,0.800000,0.901961
#90EE90,LightGreen,144,238,144,120.000000,0.734375,0.749020
#D3D3D3,LightGray,211,211,211,0.000000,0.000000,0.827451
#FFB6C1,LightPink,255,182,193,350.958900,1.000000,0.856863
#FFA07A,LightSalmon,255,160,122,17.142860,1.000000,0.739216
#20B2AA,LightSeaGreen,32,178,170,176.712300,0.695238,0.411765
#87CEFA,LightSkyBlue,135,206,250,202.956500,0.920000,0.754902
#778899,LightSlateGray,119,136,153,210.000000,0.142857,0.533333
#B0C4DE,LightSteelBlue,176,196,222,213.913000,0.410714,0.780392
#FFFFE0,LightYellow,255,255,224,60.000000,1.000000,0.939216
#00FF00,Lime,0,255,0,120.000000,1.000000,0.500000
#32CD32,LimeGreen,50,205,50,120.000000,0.607843,0.500000
#FAF0E6,Linen,250,240,230,30.000000,0.666667,0.941177
#FF00FF,Magenta,255,0,255,300.000000,1.000000,0.500000
#800000,Maroon,128,0,0,0.000000,1.000000,0.250980
#66CDAA,MediumAquamarine,102,205,170,159.611600,0.507389,0.601961
#0000CD,MediumBlue,0,0,205,240.000000,1.000000,0.401961
#BA55D3,MediumOrchid,186,85,211,288.095200,0.588785,0.580392
#9370DB,MediumPurple,147,112,219,259.626200,0.597765,0.649020
#3CB371,MediumSeaGreen,60,179,113,146.722700,0.497908,0.468628
#7B68EE,MediumSlateBlue,123,104,238,248.507500,0.797619,0.670588
#00FA9A,MediumSpringGreen,0,250,154,156.960000,1.000000,0.490196
#48D1CC,MediumTurquoise,72,209,204,177.810200,0.598253,0.550980
#C71585,MediumVioletRed,199,21,133,322.247200,0.809091,0.431373
#191970,MidnightBlue,25,25,112,240.000000,0.635037,0.268628
#F5FFFA,MintCream,245,255,250,150.000000,1.000000,0.980392
#FFE4E1,MistyRose,255,228,225,6.000003,1.000000,0.941177
#FFE4B5,Moccasin,255,228,181,38.108110,1.000000,0.854902
#FFDEAD,NavajoWhite,255,222,173,35.853660,1.000000,0.839216
#000080,Navy,0,0,128,240.000000,1.000000,0.250980
#FDF5E6,OldLace,253,245,230,39.130440,0.851852,0.947059
#808000,Olive,128,128,0,60.000000,1.000000,0.250980
#6B8E23,OliveDrab,107,142,35,79.626170,0.604520,0.347059
#FFA500,Orange,255,165,0,38.823530,1.000000,0.500000
#FF4500,OrangeRed,255,69,0,16.235290,1.000000,0.500000
#DA70D6,Orchid,218,112,214,302.264200,0.588889,0.647059
#EEE8AA,PaleGoldenrod,238,232,170,54.705880,0.666667,0.800000
#98FB98,PaleGreen,152,251,152,120.000000,0.925234,0.790196
#AFEEEE,PaleTurquoise,175,238,238,180.000000,0.649485,0.809804
#DB7093,PaleVioletRed,219,112,147,340.373800,0.597765,0.649020
#FFEFD5,PapayaWhip,255,239,213,37.142860,1.000000,0.917647
#FFDAB9,PeachPuff,255,218,185,28.285720,1.000000,0.862745
#CD853F,Peru,205,133,63,29.577470,0.586777,0.525490
#FFC0CB,Pink,255,192,203,349.523800,1.000000,0.876471
#DDA0DD,Plum,221,160,221,300.000000,0.472868,0.747059
#B0E0E6,PowderBlue,176,224,230,186.666700,0.519231,0.796078
#800080,Purple,128,0,128,300.000000,1.000000,0.250980
#FF0000,Red,255,0,0,0.000000,1.000000,0.500000
#BC8F8F,RosyBrown,188,143,143,0.000009,0.251397,0.649020
#4169E1,RoyalBlue,65,105,225,225.000000,0.727273,0.568628
#8B4513,SaddleBrown,139,69,19,25.000000,0.759494,0.309804
#FA8072,Salmon,250,128,114,6.176474,0.931507,0.713726
#F4A460,SandyBrown,244,164,96,27.567570,0.870588,0.666667
#2E8B57,SeaGreen,46,139,87,146.451600,0.502703,0.362745
#FFF5EE,SeaShell,255,245,238,24.705880,1.000000,0.966667
#A0522D,Sienna,160,82,45,19.304350,0.560976,0.401961
#C0C0C0,Silver,192,192,192,0.000000,0.000000,0.752941
#87CEEB,SkyBlue,135,206,235,197.400000,0.714286,0.725490
#6A5ACD,SlateBlue,106,90,205,248.347800,0.534884,0.578431
#708090,SlateGray,112,128,144,210.000000,0.125984,0.501961
#FFFAFA,Snow,255,250,250,0.000004,1.000000,0.990196
#00FF7F,SpringGreen,0,255,127,149.882400,1.000000,0.500000
#4682B4,SteelBlue,70,130,180,207.272700,0.440000,0.490196
#D2B48C,Tan,210,180,140,34.285720,0.437500,0.686275
#008080,Teal,0,128,128,180.000000,1.000000,0.250980
#D8BFD8,Thistle,216,191,216,300.000000,0.242718,0.798039
#FF6347,Tomato,255,99,71,9.130435,1.000000,0.639216
#40E0D0,Turquoise,64,224,208,174.000000,0.720721,0.564706
#EE82EE,Violet,238,130,238,300.000000,0.760563,0.721569
#F5DEB3,Wheat,245,222,179,39.090910,0.767442,0.831373
#FFFFFF,White,255,255,255,0.000000,0.000000,1.000000
#F5F5F5,WhiteSmoke,245,245,245,0.000000,0.000000,0.960784
#FFFF00,Yellow,255,255,0,60.000000,1.000000,0.500000
#9ACD32,YellowGreen,154,205,50,79.741940,0.607843,0.500000
