RGB,Name,RomanName,R,G,B,Hue,Saturation,Brightness
#7D6C46,生壁,Namakabe,125,108,70,41.454550,0.282051,0.382353
#DAC9A6,鳥の子,Torinoko,218,201,166,40.384620,0.412698,0.752941
#FAD689,浅黄,Usuki,250,214,137,40.884960,0.918699,0.758824
#D9AB42,黄朽葉,Kikuchiba,217,171,66,41.721860,0.665198,0.554902
#F6C555,梔子,Kuchinashi,246,197,85,41.739130,0.899441,0.649020
#FFC408,籐黄,Tohoh,255,196,8,45.668020,1.000000,0.515686
#EFBB24,鬱金,Ukon,239,187,36,44.630540,0.863830,0.539216
#CAAD5F,芥子,Karashi,202,173,95,43.738320,0.502348,0.582353
#8D742A,肥後煤竹,Higosusutake,141,116,42,44.848480,0.540984,0.358824
#B4A582,利休白茶,Rikyushiracha,180,165,130,42.000000,0.250000,0.607843
#877F6C,灰汁,Aku,135,127,108,42.222210,0.111111,0.476471
#897D55,利休茶,Rikyucha,137,125,85,46.153840,0.234234,0.435294
#74673E,路考茶,Rokohcha,116,103,62,45.555560,0.303371,0.349020
#A28C37,菜種油,Nataneyu,162,140,55,47.663550,0.493088,0.425490
#6C6024,鶯茶,Uguisucha,108,96,36,50.000000,0.500000,0.282353
#867835,黄海松茶,Kimirucha,134,120,53,49.629630,0.433155,0.366667
#62592C,海松茶,Mirucha,98,89,44,50.000000,0.380282,0.278431
#E9CD4C,刈安,Kariyasu,233,205,76,49.299360,0.781095,0.605882
#F7D94C,菜の花,Nanohana,247,217,76,49.473690,0.914439,0.633333
#FBE251,黄蘗,Kihada,251,226,81,51.176470,0.955056,0.650980
#D9CD90,蒸栗,Mushikuri,217,205,144,50.136990,0.489933,0.707843
#ADA142,青朽葉,Aokuchiba,173,161,66,53.271030,0.447699,0.468628
#DDD23B,女郎花,Ominaeshi,221,210,59,55.925930,0.704348,0.549020
#A5A051,鶸茶,Hiwacha,165,160,81,56.428570,0.341463,0.482353
#BEC23F,鶸,Hiwa,190,194,63,61.832060,0.517787,0.503922
#6C6A2D,鶯,Uguisu,108,106,45,58.095240,0.411765,0.300000
#939650,柳茶,Yanagicha,147,150,80,62.571430,0.304348,0.450980
#838A2D,苔,Koke,131,138,45,64.516130,0.508197,0.358824
#B1B479,麹塵,Kikujin,177,180,121,63.050850,0.282297,0.590196
#616138,璃寛茶,Rikancha,97,97,56,60.000000,0.267974,0.300000
#4B4E2A,藍媚茶,Aikobicha,75,78,42,65.000000,0.300000,0.235294
#5B622E,海松,Miru,91,98,46,68.076920,0.361111,0.282353
#4D5139,千歳茶,Sensaicha,77,81,57,70.000000,0.173913,0.270588
#89916B,梅幸茶,Baikocha,137,145,107,72.631580,0.150794,0.494118
#90B44B,鶸萌黄,Hiwamoegi,144,180,75,80.571430,0.411765,0.500000
#91AD70,柳染,Yanagizome,145,173,112,87.540980,0.271111,0.558824
#B5CAA0,裏柳,Urayanagi,181,202,160,89.999990,0.283784,0.709804
#646A58,岩井茶,Iwaicha,100,106,88,80.000000,0.092784,0.380392
#7BA23F,萌黄,Moegi,123,162,63,83.636370,0.440000,0.441177
#86C166,苗,Nae,134,193,102,98.901090,0.423256,0.578431
#4A593D,柳煤竹,Yanagisusutake,74,89,61,92.142850,0.186667,0.294118
#42602D,松葉,Matsuba,66,96,45,95.294110,0.361702,0.276471
#516E41,青丹,Aoni,81,110,65,98.666660,0.257143,0.343137
#91B493,薄青,Usuao,145,180,147,123.428600,0.189189,0.637255
#808F7C,柳鼠,Yanaginezumi,128,143,124,107.368400,0.078189,0.523529
#1B813E,常磐,Tokiwa,27,129,62,140.588200,0.653846,0.305882
#5DAC81,若竹,Wakatake,93,172,129,147.341800,0.322449,0.519608
#36563C,千歳緑,Chitosemidori,54,86,60,131.250000,0.228571,0.274510
#227D51,緑,Midori,34,125,81,150.989000,0.572327,0.311765
#A8D8B9,白緑,Byakuroku,168,216,185,141.250000,0.380952,0.752941
#6A8372,老竹,Oitake,106,131,114,139.200000,0.105485,0.464706
#2D6D4B,木賊,Tokusa,45,109,75,148.125000,0.415584,0.301961
#465D4C,御納戸茶,Onandocha,70,93,76,135.652200,0.141104,0.319608
#24936E,緑青,Rokusyoh,36,147,110,160.000000,0.606557,0.358824
#86A697,錆青磁,Sabiseiji,134,166,151,151.875000,0.152381,0.588235
#00896C,青竹,Aotake,0,137,108,167.299300,1.000000,0.268628
#096148,ビロード,Veludo,9,97,72,162.954500,0.830189,0.207843
#20604F,虫襖,Mushiao,32,96,79,164.062500,0.500000,0.250980
#0F4C3A,藍海松茶,Aimirucha,15,76,58,162.295100,0.670330,0.178431
#4F726C,沈香茶,Tonocha2,79,114,108,169.714300,0.181347,0.378431
#00AA90,青緑,Aomidori,0,170,144,170.823500,1.000000,0.333333
#69B0AC,青磁,Seiji,105,176,172,176.619700,0.310044,0.550980
#26453D,鉄,Tetsu,38,69,61,164.516100,0.289720,0.209804
#66BAB7,水浅葱,Mizuasagi,102,186,183,177.857100,0.378378,0.564706
#268785,青碧,Seiheki,38,135,133,178.762900,0.560694,0.339216
#405B55,錆鉄御納戸,Sabitetsuonando,64,91,85,166.666700,0.174194,0.303922
#305A56,高麗納戸,Korainando,48,90,86,174.285700,0.304348,0.270588
#78C2C4,白群,Byakugun,120,194,196,181.578900,0.391753,0.619608
#376B6D,御召茶,Omeshicha,55,107,109,182.222200,0.329268,0.321569
#A5DEE4,瓶覗,Kamenozoki,165,222,228,185.714300,0.538462,0.770588
#77969A,深川鼠,Fukagawanezumi,119,150,154,186.857100,0.147679,0.535294
#6699A1,錆浅葱,Sabiasagi,102,153,161,188.135600,0.238866,0.515686
#81C7D4,水,Mizu,129,199,212,189.397600,0.491124,0.668627
#33A6B8,浅葱,Asagi,51,166,184,188.120300,0.565957,0.460784
#0C4842,御納戸,Onando,12,72,66,174.000000,0.714286,0.164706
#0D5661,藍,Ai,13,86,97,187.857100,0.763636,0.215686
#0089A7,新橋,Shinbashi,0,137,167,190.778400,1.000000,0.327451
#336774,錆御納戸,Sabionando,51,103,116,192.000000,0.389222,0.327451
#255359,鉄御納戸,Tetsuonando,37,83,89,186.923100,0.412698,0.247059
#1E88A8,花浅葱,Hanaasagi,30,136,168,193.913000,0.696970,0.388235
#566C73,藍鼠,Ainezumi,86,108,115,194.482800,0.144279,0.394118
#577C8A,舛花,Masuhana,87,124,138,196.470600,0.226667,0.441177
#58B2DC,空,Sora,88,178,220,199.090900,0.653465,0.603922
#2B5F75,熨斗目花,Noshimehana,43,95,117,197.837800,0.462500,0.313726
#3A8FB7,千草,Chigusa,58,143,183,199.200000,0.518672,0.472549
#2E5C6E,御召御納戸,Omeshionando,46,92,110,196.875000,0.410256,0.305882
#006284,縹,Hanada,0,98,132,195.454500,1.000000,0.258824
#7DB9DE,勿忘草,Wasurenagusa,125,185,222,202.886600,0.595092,0.680392
#51A8DD,群青,Gunjyo,81,168,221,202.714300,0.673077,0.592157
#2EA9DF,露草,Tsuyukusa,46,169,223,198.305100,0.734440,0.527451
#0B1013,黒橡,Kurotsurubami,11,16,19,202.500000,0.266667,0.058824
#0F2540,紺,Kon,15,37,64,213.061200,0.620253,0.154902
#08192D,褐,Kachi,8,25,45,212.432400,0.698113,0.103922
#005CAF,瑠璃,Ruri,0,92,175,208.457100,1.000000,0.343137
#0B346E,瑠璃紺,Rurikon,11,52,110,215.151500,0.818182,0.237255
#7B90D2,紅碧,Benimidori,123,144,210,225.517200,0.491525,0.652941
#6E75A4,藤鼠,Fujinezumi,110,117,164,232.222200,0.228814,0.537255
#261E47,鉄紺,Tetsukon,38,30,71,251.707300,0.405941,0.198039
#113285,紺青,Konjyo,17,50,133,222.931000,0.773333,0.294118
#4E4F97,紅掛花,Benikakehana,78,79,151,239.178100,0.318777,0.449020
#211E55,紺桔梗,Konkikyo,33,30,85,243.272700,0.478261,0.225490
#8B81C3,藤,Fuji,139,129,195,249.090900,0.354839,0.635294
#70649A,二藍,Futaai,112,100,154,253.333300,0.212598,0.498039
#9B90C2,楝,Ouchi,155,144,194,253.200000,0.290698,0.662745
#8A6BBE,藤紫,Fujimurasaki,138,107,190,262.409600,0.389671,0.582353
#6A4C9C,桔梗,Kikyo,106,76,156,262.500000,0.344828,0.454902
#8F77B5,紫苑,Shion,143,119,181,263.225800,0.295238,0.588235
#533D5B,滅紫,Messhi,83,61,91,284.000000,0.197368,0.298039
#B28FCE,薄,Usu,178,143,206,273.333300,0.391304,0.684314
#986DB2,半,Hashita,152,109,178,277.391300,0.309417,0.562745
#77428D,江戸紫,Edomurasaki,119,66,141,282.400000,0.362319,0.405882
#3C2F41,紫紺,Shikon,60,47,65,283.333300,0.160714,0.219608
#4A225D,深紫,Kokimurasaki,74,34,93,280.678000,0.464567,0.249020
#66327C,菫,Sumire,102,50,124,282.162200,0.425287,0.341177
#592C63,紫,Murasaki,89,44,99,289.090900,0.384615,0.280392
#6F3381,菖蒲,Ayame,111,51,129,286.153800,0.433333,0.352941
#574C57,藤煤竹,Fujisusutake,87,76,87,300.000000,0.067485,0.319608
#B481BB,紅藤,Benifuji,180,129,187,292.758600,0.298969,0.619608
#3F2B36,黒紅,Kurobeni,63,43,54,327.000000,0.188679,0.207843
#572A3F,茄子紺,Nasukon,87,42,63,332.000000,0.348837,0.252941
#5E3D50,葡萄鼠,Budohnezumi,94,61,80,325.454600,0.212903,0.303922
#72636E,鳩羽鼠,Hatobanezumi,114,99,110,316.000000,0.070423,0.417647
#622954,杜若,Kakitsubata,98,41,84,314.736800,0.410072,0.272549
#6D2E5B,蒲葡,Ebizome,109,46,91,317.142900,0.406452,0.303922
#C1328E,牡丹,Botan,193,50,142,321.398600,0.588477,0.476471
#A8497A,梅紫,Umemurasaki,168,73,122,329.052600,0.394191,0.472549
#562E37,似紫,Nisemurasaki,86,46,55,346.500000,0.303030,0.258824
#E03C8A,躑躅,Tsutsuji,224,60,138,331.463400,0.725664,0.556863
#60373E,紫鳶,Murasakitobi,96,55,62,349.756100,0.271523,0.296078
#FCFAF2,白練,Shironeri,252,250,242,48.000000,0.625000,0.968628
#FFFFFB,胡粉,Gofun,255,255,251,60.000000,1.000000,0.992157
#BDC0BA,白鼠,Shironezumi,189,192,186,89.999980,0.045455,0.741177
#91989F,銀鼠,Ginnezumi,145,152,159,210.000000,0.067961,0.596079
#787878,鉛,Namari,120,120,120,0.000000,0.000000,0.470588
#828282,灰,Hai,130,130,130,0.000000,0.000000,0.509804
#787D7B,素鼠,Sunezumi,120,125,123,156.000000,0.020408,0.480392
#707C74,利休鼠,Rikyunezumi,112,124,116,140.000000,0.050847,0.462745
#656765,鈍,Nibi,101,103,101,120.000000,0.009804,0.400000
#535953,青鈍,Aonibi,83,89,83,120.000000,0.034884,0.337255
#4F4F48,溝鼠,Dobunezumi,79,79,72,60.000000,0.046358,0.296078
#52433D,紅消鼠,Benikeshinezumi,82,67,61,17.142870,0.146853,0.280392
#373C38,藍墨茶,Aisumicha,55,60,56,132.000000,0.043478,0.225490
#3A3226,檳榔子染,Binrojizome,58,50,38,36.000000,0.208333,0.188235
#434343,消炭,Keshizumi,67,67,67,0.000000,0.000000,0.262745
#1C1C1C,墨,Sumi,28,28,28,0.000000,0.000000,0.109804
#080808,黒,Kuro,8,8,8,0.000000,0.000000,0.031373
#0C0C0C,呂,Ro,12,12,12,0.000000,0.000000,0.047059
