RGB,Name,Assignments
#1B813E,常磐,8
#5DAC81,若竹,3
#36563C,千歳緑,8
#227D51,緑,3
#A8D8B9,白緑,8
#6A8372,老竹,8
#2D6D4B,木賊,3
#465D4C,御納戸茶,8
#24936E,緑青,3
#86A697,錆青磁,3
#00896C,青竹,3
#096148,ビロード,3
#20604F,虫襖,3
#0F4C3A,藍海松茶,3
#4F726C,沈香茶,3
#00AA90,青緑,3
#69B0AC,青磁,3
#26453D,鉄,3
#66BAB7,水浅葱,3
#268785,青碧,3
#405B55,錆鉄御納戸,3
#305A56,高麗納戸,3
#78C2C4,白群,3
#376B6D,御召茶,3
#A5DEE4,瓶覗,3
#77969A,深川鼠,3
#6699A1,錆浅葱,3
#81C7D4,水,6
#33A6B8,浅葱,3
#0C4842,御納戸,3
#0D5661,藍,3
#0089A7,新橋,6
#336774,錆御納戸,6
#255359,鉄御納戸,3
#1E88A8,花浅葱,6
#566C73,藍鼠,6
#577C8A,舛花,6
#58B2DC,空,6
#2B5F75,熨斗目花,6
#3A8FB7,千草,6
#2E5C6E,御召御納戸,6
#006284,縹,6
#7DB9DE,勿忘草,6
#51A8DD,群青,6
#2EA9DF,露草,6
#0B1013,黒橡,6
#0F2540,紺,6
#08192D,褐,6
#005CAF,瑠璃,6
#0B346E,瑠璃紺,6
#7B90D2,紅碧,5
#6E75A4,藤鼠,5
#261E47,鉄紺,5
#113285,紺青,6
#4E4F97,紅掛花,5
#211E55,紺桔梗,5
#8B81C3,藤,5
#70649A,二藍,5
#9B90C2,楝,5
#8A6BBE,藤紫,7
#6A4C9C,桔梗,7
#8F77B5,紫苑,7
#533D5B,滅紫,7
#B28FCE,薄,7
#986DB2,半,7
#77428D,江戸紫,7
#3C2F41,紫紺,7
#4A225D,深紫,7
#66327C,菫,7
#592C63,紫,7
#6F3381,菖蒲,7
#574C57,藤煤竹,1
#B481BB,紅藤,1
#3F2B36,黒紅,2
#572A3F,茄子紺,2
#5E3D50,葡萄鼠,2
#72636E,鳩羽鼠,1
#622954,杜若,1
#6D2E5B,蒲葡,1
#C1328E,牡丹,2
#A8497A,梅紫,2
#562E37,似紫,2
#E03C8A,躑躅,2
#60373E,紫鳶,2
#FCFAF2,白練,0
#FFFFFB,胡粉,0
#BDC0BA,白鼠,8
#91989F,銀鼠,6
#787878,鉛,4
#828282,灰,4
#787D7B,素鼠,3
#707C74,利休鼠,8
#656765,鈍,8
#535953,青鈍,8
#4F4F48,溝鼠,0
#52433D,紅消鼠,9
#373C38,藍墨茶,8
#3A3226,檳榔子染,0
#434343,消炭,4
#1C1C1C,墨,4
#080808,黒,4
#0C0C0C,呂,4
